text_or_caption,reply_to,chat_id,date_created
"Не справку 2 ндфл, а документы, подтверждающие фактическую оплату налога (для зачёта)",65,-1001350470024,2020-07-31T09:06:50+00:00
"Ладно, в первый год подачи все прояснится 😅",,-1001350470024,2020-07-31T09:08:03+00:00
"НДФЛ платится обезличено работодателем. и необходимо будет из личного кабинета налогоплательщика на сайте ИФНС взять 2-НДФЛ.
это данные, которые сдал работодатель в ИФНС, подтверждающие начисление, удержание и уплату налога.",69,-1001350470024,2020-07-31T09:45:23+00:00
"Всем привет, вдруг кто знает.
Доход партннёра от Английской LLP, - это дивиденды или как с точки зрения Кипра?",,-1001350470024,2020-07-31T10:13:30+00:00
НДФЛ,81,-1001350470024,2020-07-31T10:13:54+00:00
а есть какая то ссылка где это скзаано?,61,-1001350470024,2020-07-31T10:41:58+00:00
https://www.mof.gov.cy/mof/tax/taxdep.nsf/All/93342E2BC31905B9C225858900375F6D/$file/Δήλωση%20Εισοδήματος%20Ατόμου%202019.pdf,86,-1001350470024,2020-07-31T10:46:40+00:00
Спс,,-1001350470024,2020-07-31T10:47:18+00:00
Благодарю!,82,-1001350470024,2020-07-31T10:47:19+00:00
"Скажите, а выдача виз F тоже ""на паузе"" сейчас? Из заявления мигрейшена не очевидно.",,-1001350470024,2020-07-31T14:44:27+00:00
"Да, паспорта и все ID на паузе",101,-1001350470024,2020-07-31T14:48:35+00:00
"**Модернизация паспортно-идентификационной системы Департаментом по делам населения и иммиграции

**Как сказано в сообщении Министерства внутренних дел, Департамент учета иммиграции находится в процессе модернизации системы выдачи паспортов и удостоверений личности.

В четверг, 30 июля 2020 года, ожидается выпуск нового типа обычных, дипломатических и служебных биометрических паспортов.

Понятно, что все существующие паспорта остаются в силе до истечения срока их действия и не нуждаются в замене.

Что касается ID карт, то из-за технических проблем, возникших на этапе обновления системы, ожидается, что их доставка будет задержана.

Для того, чтобы избежать общественного неудобство пригласило тех , кто подал заявку на ID карточки после в 22 июня 2020 года - связаться с местными отделениями служб администраций районов и центры обслуживания населения , чтобы узнать о время получения новых идентичностей.

**Для тех, кто собирается путешествовать в ближайшие дни, можно связаться с Департаментом народонаселения и иммиграционного архива по тел. ****22804527**** и ****22804526****, чтобы предоставить туристические услуги.

**Министерство внутренних дел приносит свои извинения за причиненные неудобства, обеспечивая все возможные усилия для быстрого решения проблемы

__t.me/badcyprus____ Источник: ____pio.gov.cy__",,-1001350470024,2020-07-31T14:49:02+00:00
Спасибо!,102,-1001350470024,2020-07-31T18:02:30+00:00
Добрый вечер! Кто может проконсультировать по ВНЖ (Категории виз)?,,-1001350470024,2020-07-31T20:54:06+00:00
"Доброе утро! Я могу, написал в личку",119,-1001350470024,2020-08-01T04:33:21+00:00
"А если минималка на Кипре + сущие копейки по самозанятости в РФ?

По кипрскому доходу налог — 0, взнос в Геси платит работодатель. Подаем декларацию (когда, кстати?), в нее добавляем российский доход. С него налог 4-6% в России уплачен, какой процент начислит Кипр, если доход этот меньше, скажем, 700 евро в месяц? То есть суммарно не будет больше 28к в год. Получается, 27,9 – 19,5 = 8,4, с этих 8,4 — налог по ставке 20% = 1680 евро? А на уплаченные 4-6% в России как можно сократить сумму налога?",,-1001350470024,2020-08-01T06:52:14+00:00
"Вот эти самые 4-6% будете вычитать из налога, который получился к уплате на Кипре. Gesy с этих доходов не забудьте заплатить.

Декларация в этом году до 30 октября, но бланка пока нет",125,-1001350470024,2020-08-01T07:31:45+00:00
"Кстати, а как и когда считается курс между валютами для уплаты налогов?",,-1001350470024,2020-08-01T07:36:29+00:00
Ecb на дату получения дохода,127,-1001350470024,2020-08-01T07:37:15+00:00
"А как доказать уплату налога в России? Скринами из приложения Мой налог? ))

Про геси — я сама должна прямо считать и отдавать деньги? 2,65%? Или я условно подхожу к какой-то тете и она мне начисляет?

Спасибо!",126,-1001350470024,2020-08-01T08:03:00+00:00
Спасибо!,128,-1001350470024,2020-08-01T08:09:25+00:00
"Да, у самозанятых никаких документов нет

До 30 октября — за полный 2019 год, верно?",130,-1001350470024,2020-08-01T08:11:00+00:00
За 2019 год уже давно нужно было заплатить gesy. Сейчас нужно уже заполонять формы и идти в налоговую пешком платить вместе со штрафами,132,-1001350470024,2020-08-01T08:12:06+00:00
Самозанятость с марта 2020,133,-1001350470024,2020-08-01T08:24:44+00:00
"Так до этого же речь шла про 2019?) по доходам за 2020 год от самозанятости тоже на самом деле уже надо было заплатить. Дивиденды, проценты и рента платятся раз в полгода, а все остальное в месяц, следующий за месяцем получения дохода. Но я бы попробовал через jcc все равно заплатить, а не идти в налоговую по 2020 году",134,-1001350470024,2020-08-01T08:27:09+00:00
"Не, я на будущее спрашивала. Спасибо! Буду разбираться в jcc",135,-1001350470024,2020-08-01T08:28:42+00:00
"А кто-то понимает, что будет с доходами полученными в РФ (типа аренда, продажа ООО) физлицом, постоянно проживавшим в РФ, но по причине эпидемии оказавшимся более 180 дней вне РФ?",,-1001350470024,2020-08-01T08:30:59+00:00
"у вас в приложении мой налог, если привязана карта, то сделайте выписку со счета карты и там будет видна уплата налога. а данные по расчету налога попробуйте запросить в личном кабинете налогоплательщика на сайте ИФНС. там есть раздел",129,-1001350470024,2020-08-01T08:33:15+00:00
"Зависит от того, где он оказался. Многие страны не будут считать людей налоговыми резидентами, если они вынуждено проводили время на их территории. Плюс Россия в этом году даёт возможность признать себя налоговым резидентом РФ от 90 дней. Так что скорее всего проблем не будет и доходы будут рассматриваться как доходы налогового резидента РФ",137,-1001350470024,2020-08-01T08:33:40+00:00
Ну типа кипр. Кипр как я понимаю не настаивает пока на резиденстве для Россиян.,139,-1001350470024,2020-08-01T08:34:16+00:00
90 дней - хорошая новость,,-1001350470024,2020-08-01T08:34:37+00:00
"Да, я не слышал, чтобы Кипр бился за налоговое резидентство с РФ. После изменения соглашения может захочет)",141,-1001350470024,2020-08-01T08:35:29+00:00
Спасибо большое! Попробую,138,-1001350470024,2020-08-01T09:10:35+00:00
"В ""Certificate of taxpayer personal data"", что такое ""Initiation date of IT obligation""?
Сам сертификат у меня от марта этого года, а то поле - аж за январь прошлого, когда я ещё даже в страну не въехал.",,-1001350470024,2020-08-01T09:15:18+00:00
А кто его получал? Эта дата указывается при заполнении форму на регистрацию. На работников обычно ставят дату первого трудового договора,146,-1001350470024,2020-08-01T09:29:39+00:00
"Я и получал, просто забыл уже всё. :) Тогда понятно, спасибо!",147,-1001350470024,2020-08-01T09:36:15+00:00
"Как именно платить GeSY работникам не кипрских компаний? Онлайн я могу найти только информацию о том, что за работников платит работодатель. Но ведь иностранная компания-то явно не будет за меня ничего платить Кипру.

Тот же вопрос про социалку. В KPMG мне один их специалист пожал плечами и во время диалога менял мнение туда-сюда с ""не надо платить"" на ""плати как self-employed"" и обратно.",,-1001350470024,2020-08-01T10:32:34+00:00
"GESY через JCC. Обычно вот тут: https://www.jccsmart.com/e-bill/merchants/4888/outlets/723/invoices/classified?node=40 
но сегодня у них что-то сломалось и не дает ничего выбрать/заполнить. Наверное починят. 

Про социалку я придержусь позиции “не надо платить”, если, конечно, не открывается бранч иностранной и подобные вопросы, тогда все тоже самое, как у кипрских, платит бранч.",149,-1001350470024,2020-08-01T10:53:22+00:00
"Спасибо.
Хм. Я правильно понимаю, что пока более-менее чётких слов вида ""работникам иностранных компаний надо платить GeSY"" и ""работникам иностранных компаний не надо платить Social Insurance"" нигде не найти?",152,-1001350470024,2020-08-01T11:13:12+00:00
"Картинка из OAY 31.18.001. Отсюда кажется, что, если соцстрах не надо платить, то и ГеСИ не надо платить.",,-1001350470024,2020-08-01T11:15:06+00:00
"Я когда в прошлом году выяснял свой вопрос, они довольно живо отвечали на емейлы",153,-1001350470024,2020-08-01T11:16:50+00:00
"Тоже попробую, спасибо.
Пока что у меня крайне негативный опыт с имейлами в республике. :)",155,-1001350470024,2020-08-01T11:17:39+00:00
"Киприоты не особо разбираются, трудовой договор с иностранной компанией, или ГПХ. Income и income.  И поскольку человек не работник кипрской компании или государства, то gesy под 4% как у self employed",153,-1001350470024,2020-08-01T11:19:19+00:00
"И по телефону тоже, кстати. Но в вашем случае, я бы предпочёл письменный ответ.",,-1001350470024,2020-08-01T11:19:50+00:00
"Блин, вообще солянка тогда получается нигде не задокументированная.
А как так выходит, что соцстрах не надо платить? Ведь там есть отдельный рейт для self-employed.",157,-1001350470024,2020-08-01T11:20:43+00:00
"Но справедливости ради у них с gesy у самих ещё в голове полная неразбериха. Последний перл от лимасольской налоговой - даже если сумма доходов превышает EUR 180000 - нужно платить gesy со всех этих доходов, а потом просить возмещения. Что, конечно, круто, учитывая как киприоты любят возвращать уплаченные налоги и сборы",,-1001350470024,2020-08-01T11:22:10+00:00
Внукам зачтётся. :),,-1001350470024,2020-08-01T11:22:33+00:00
"Проблема в том, что законы не соответствуют друг-другу, к сожалению. Работа на иностранную компанию сама по себе не подпадает под понятие self employed, а значит и не возникает а) обязанности регистрации в качестве self employed и б) обязанности уплачивать соц.взносы. А вот получение дохода, по природе своей аналогичного доходу селф эмплойда, приводит к возникновению обязанности уплаты gesy по соответствующим ставкам",159,-1001350470024,2020-08-01T11:27:19+00:00
Спасибо! Очень чётко и понятно.,162,-1001350470024,2020-08-01T11:29:09+00:00
Не за что!,,-1001350470024,2020-08-01T11:29:30+00:00
"Я представил общие суммы по году, например дивиденды многих «золотых паспортов», и икнул )))",160,-1001350470024,2020-08-01T11:30:52+00:00
В свете заплати - потом вернётся...,165,-1001350470024,2020-08-01T11:33:05+00:00
"Вот все от таких претензий «икнули». В налоговой утверждают, что срок возврата до 6 месяцев, но я им не верю.
Если есть желающие заплатить gesy с доходов превышающих 180 000 в год - вэлком в личку, первый кейс по возврату излишне уплаченного бесплатно",,-1001350470024,2020-08-01T11:44:26+00:00
"Написал им вопросы. Если ответят, то отпишусь в чатике.",155,-1001350470024,2020-08-01T12:44:54+00:00
"Это не те self-employed (которые налоговая категория), а именно те, кто имеет право на ведение деятельности и зарегистрирован в Social Insurance. Visitor'ов не регистрируют.",159,-1001350470024,2020-08-01T12:50:42+00:00
"Отпишитесь потом, если будет кейс. Позитив или негатив ))))",168,-1001350470024,2020-08-01T12:50:44+00:00
То есть self-employed для SIS и self-employed для GHS - ортогональные вещи?,170,-1001350470024,2020-08-01T12:57:24+00:00
"Self-Employed для GESY - это именно кипрский self-employed, который ведет деятельность здесь. Получающий доход из-за границы визитор - это Income Earner с т.з. GESY. Фокус состоит еще и в том, что несмотря на обязанность его платить, обладатель временного пермита (пинк-слипа) не является его бенефициаром (то есть пользоваться им не может).",172,-1001350470024,2020-08-01T13:18:48+00:00
"Да же те, кто на рабочей визе и платят soc. ins, всеми благами воспользоваться тоже не могут.",173,-1001350470024,2020-08-01T13:29:31+00:00
"Если я правильно читаю, то то, что вы пишете, противоречит тому, что пишет @matrosoveu в https://t.me/cylaw/157 и в https://t.me/cylaw/162

Кто прав? :)",173,-1001350470024,2020-08-01T14:08:11+00:00
"У меня инфа из 1) налоговой; 2) от бухгалтера; 3) но только для моего случая (independent contractor). Впрочем, это может не значить ничего и каждый может говорить разное (в том числе следующий адвокат или налоговый офицер). То, что трудоустройство за рубежом от independent contractor / self-employed налоговая различает - это 100%. Налогообложение даже различается.",176,-1001350470024,2020-08-01T16:09:56+00:00
"И налоговая категория self-employed - это не то же самое, что статус self-employed в social insurance. Это тоже 100%.",,-1001350470024,2020-08-01T16:12:15+00:00
"А, ну так мы тогда про совсем разные кейсы говорим. У вас contractor, а у меня employee.",178,-1001350470024,2020-08-01T16:17:17+00:00
"Я по началу сходил аж к тем аудиторам для верности и получил три разных ответа на каждый из своих вопросов. Самый квалифицированный повторил инфу из мурзилок Deloitte, E&Y, PwC, ... После этого я завязал и читаю мурзилки сам. :)",,-1001350470024,2020-08-01T16:18:09+00:00
"Мурзилки полезные, да, согласен.
Увы, мой кейс явным образом как раз для соцстраха и GHS не покрывают.",181,-1001350470024,2020-08-01T16:20:12+00:00
"Я бы сходил в налоговую с таким, они ответят.",182,-1001350470024,2020-08-01T16:20:45+00:00
"Ну вот я написал в gesy.org.cy свой вопрос. Если не ответят, то схожу куда-нибудь, да.
Правда, GHS и соцстрах это ж не про налоговую. Но суть я понял. :)",183,-1001350470024,2020-08-01T16:22:42+00:00
"Можно и туда, но налоговая охотно отвечает на вопросы про Геси. Платится-то он в tax department.",184,-1001350470024,2020-08-01T16:24:09+00:00
"Понял, спасибо.",185,-1001350470024,2020-08-01T16:25:03+00:00
"Мне про селф эмплоймент тоже в налоговой твердят, причём и в Лимасоле, и в Никосии)) ну и аудиторы, с которыми мы работаем, в том числе большая четверка.

Самый правильный способ узнать свой кейс наверняка на Кипре - заказать рулинг в налоговой.",176,-1001350470024,2020-08-01T16:42:15+00:00
"О, спасибо, tax ruling это интересно.",187,-1001350470024,2020-08-01T16:48:27+00:00
"Но в целом мне не нравится позиция, что independant contractor относится к income earner. Потому что в эту категорию по общему правилу включают дивиденды, проценты и ренту, то есть те доходы, которые облагаются специальным взносом на нужды обороны. Собственно и налоговая эти доходы отдельно рассматривает (отдельные налоговые формы, отдельные категории в JCC). 

Это не значит, что ваша @staranchenko  позиция 100% неверная, потому что термин “Income” по закону о GESY может толковаться и в соответствии с определением закона о налоге на доход, но если сумма дохода материальна - я бы все же заказал рулинг.",,-1001350470024,2020-08-01T16:57:35+00:00
"Я просто задавал этот вопрос в налоговой. Но может быть действительно имеет смысл заказать tax ruling (не знал про такое). Разница в том, что это доход не от ведения деятельности на Кипре, а доход извне Кипра.",190,-1001350470024,2020-08-01T17:48:55+00:00
"Да, я понимаю о чем речь. Вот мне налоговая говорит противоположное. Ну и косвенные признаки (те же формы), поддерживают мою теорию. Как верно отметили, на Кипре часто так бывает, один офицер говорит одно, другой другое. Рулинг снимает эту проблему. Рекомендую. Ну или если суммы не очень большие, можно подождать, когда они выпустят декларцию, подать, а после сразу запросить такс клеранс. Выпустят - значит правда)",191,-1001350470024,2020-08-01T17:51:58+00:00
"Я конечно могу ошибаться, пусть меня поправят, но где-то слышал, что этот рулинг чуть-ли не 2к стоит - это типа официальная комиссия налоговой.",191,-1001350470024,2020-08-01T18:38:56+00:00
"1к без ускорения и 2к с ускорением, все так.",193,-1001350470024,2020-08-01T18:47:52+00:00
"Официальный платёж налоговой 1к за неопределенный срок ответа, 2к за выпуск рулинга в течение 21 рабочего дня.",,-1001350470024,2020-08-01T18:49:24+00:00
Ну это в теории. На практике срок 21 день регулярно нарушается налоговой.,195,-1001350470024,2020-08-01T18:50:41+00:00
"Не знаю, насколько регулярно нарушается. Срок часто соответствует, если это делается через консультантов все же.",196,-1001350470024,2020-08-01T18:52:33+00:00
Через раз нарушается),197,-1001350470024,2020-08-01T18:52:55+00:00
"А, ну за 2к из-за GESY на одного человека это не имеет смысла делать. :) Проще доплатить потом по требованию налогового комиссара. Там разница в 0.95% от доходов за март - декабрь за прошлый год. Чтобы это имело смысл, доход должен быть больше 200к за 10 месяцев, а это и так уже аудит. Странная рекомендация, в общем.",,-1001350470024,2020-08-01T19:10:09+00:00
Ну или толпой собраться и сделать одному. Один фиг у многих схожие кейсы),199,-1001350470024,2020-08-01T19:11:15+00:00
"Не аудит, потому что нет той самой регистрации self employed, которая бы потребовала бы проведения аудита при доходах больше 70к) ну и аудит, как показывает практика, не всегда спасает от доначислений",199,-1001350470024,2020-08-01T19:24:24+00:00
"Ну и не забываем, что декларацию налоговая будет проверять ещё неизвестно сколько лет, а рулинг все-таки сравнительно быстро даже без ускорения (самый долгий у нас полгода).",,-1001350470024,2020-08-01T19:26:23+00:00
Ну у биг4 не 50% )),198,-1001350470024,2020-08-01T20:37:24+00:00
"В разделе Maintenance of Accounting Books and Records мурзилки от Deloitte написано ровно обратное. Это вообще не про self-employed, насколько я понимаю. А любое физ.лицо (налоговый резидент Кипра), получающее доход от 70к в год из указанных там источников (все виды бизнеса, дивиденды, и т.д.), не может самостоятельно отчитываться, и обязано проходить аудит.",201,-1001350470024,2020-08-01T21:31:57+00:00
“An individual carrying on a business”. Это про self employed. Можно самостоятельно отчитываться.,205,-1001350470024,2020-08-02T02:55:19+00:00
"""An individual carrying on a business is exempt from the obligation to maintain accounting books and records and prepare audited financial statements if his/her annual gross income does not exceed the amount of €70.000 (including business income)."" - вот полная цитата.",206,-1001350470024,2020-08-02T04:03:51+00:00
"Да. Ну вы ещё начните financial statements по мсфо составлять, там ведь написано, что для всех, в том числе и физиков). Это для тех физиков, кто ведёт бизнес на территории республики как self employed.",207,-1001350470024,2020-08-02T04:19:54+00:00
"Вот вся секция. Все виды доходов здесь подразумевают какое-то отношение к ведению бизнеса, совершенно не обязательно на Кипре. Это могут быть дивиденды от иностранной компании. И individual carrying on a business тут - это не self-employed (он везде так и пишется), как мне кажется, а ""лицо, ведущее бизнес"" (то есть попадающее под требования раздела про аудит). И вот если доход меньше 70к, то они от такой обязанности освобождены.

Maintenance of Accounting Books and Records Every person (individual, company or partnership) deriving income from the following sources: i. Profits or other benefits from any business; or ii. Dividends, interest or discounts; or iii. Income from leasing, intellectual property rights, patent rights or other profits arising from ownership; or iv. Trade goodwill is obliged to: • Issue receipts and invoices, as specified by relevant Regulations. Invoices should be issued within 30 days from the date of the transaction unless a written approval has been obtained by the Commissioner for the purpose of issuing the invoices at a later date. In case where invoices are not issued within the prescribed deadline, a penalty of €100 per month will be imposed. • Maintain accounting books and records and prepare financial statements that are audited in accordance with acceptable auditing standards, by a person that is eligible to act as an auditor of a company in accordance with the Companies Law. • Update its accounting books and records within four months from the date of the transactions. In the case where accounting books and records are not updated within the prescribed deadline, a penalty of €100 per quarter will be imposed. An individual carrying on a business is exempt from the obligation to maintain accounting books and records and prepare audited financial statements if his/her annual gross income does not exceed the amount of €70.000 (including business income). Accounting books and records should be kept for a period of at least six years.",208,-1001350470024,2020-08-02T06:01:23+00:00
"https://www2.deloitte.com/content/dam/Deloitte/cy/Documents/tax/CY_Tax-Facts-2020EN_Noexp.pdf

Для не участвующих в дискуссии, вот ссылка, обсуждение текста по которой происходит выше.

Короткий ответ такой: физические лица, налоговые резиденты Кипра, получающие дивиденды, проценты, другой доход, в том числе и освобождённый от налогообложения, например, от продажи securities, не проходят аудит на Кипре и лишь сдают декларацию, при запросе налоговой предоставляя документы, подтверждающие доход/уплату налогов за рубежом и подобное. 

Было бы классно, если бы было по другому, столько дополнительной работы сразу)",,-1001350470024,2020-08-02T06:07:52+00:00
"Если мне склероз не изменяет, в TaxisNet на первой странице декларации есть вопрос про 70 000, и если выбираешь ""больше 70 000"" оно говорит ""обратитесь к аудитору"". Как только откроют для физ.лиц за 19-й год я проверю и отпишусь. :)",,-1001350470024,2020-08-02T06:10:24+00:00
В 17&18 taxisnet такого точно не было.,211,-1001350470024,2020-08-02T06:11:33+00:00
"Все верно, и это косяк настройки со стороны налоговой. В предыдущие периоды точно было так, может быть за 19 поправят, по крайней мере надеемся. 

А пока налоговая говорит, выбирайте, что меньше 70к, а заполняйте на полную сумму.",211,-1001350470024,2020-08-02T06:12:20+00:00
"Было, точно.",212,-1001350470024,2020-08-02T06:12:29+00:00
"Окей, буду знать. :)",213,-1001350470024,2020-08-02T06:14:11+00:00
"Там ещё просто два варианта форм в зависимости от регистрации в налоговой, employee и self employed, третьего не дано. Вот если форма стандарта employee, то такого вопроса нет. Но при этом по форме employee не отчитаться о моих любимых доходах от продажи securities, потому что единственный подходящий для них раздел получается «other income” суммы из которого форма автоматически считает налогооблагаемыми",,-1001350470024,2020-08-02T06:15:10+00:00
